Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0805",87.050000,-122.850000,0.000000,top
"C2","2u2","C_0805",95.948500,-118.974500,90.000000,top
"C3","2u2","C_0805",119.951500,-118.974500,90.000000,top
"C4","2u2","C_0805",141.199500,-122.555000,180.000000,top
"C5","2u2","C_0805",161.505000,-122.555000,0.000000,top
"C6","2u2","C_0805",121.856500,-108.458000,90.000000,top
"C7","2u2","C_0805",81.495000,-106.553000,0.000000,top
"C8","2u2","C_0805",76.800000,-106.800000,180.000000,top
"C9","2u2","C_0805",78.300000,-121.450000,90.000000,top
"C10","2u2","C_0805",164.200000,-121.550000,270.000000,top
"C11","2u2","C_0805",164.900000,-109.200000,0.000000,top
"C12","2u2","C_0805",94.850000,-105.350000,180.000000,top
"C13","22p","C_0805",77.250000,-112.550000,0.000000,top
"FID1","Fiducial","Fiducial",75.946000,-103.886000,0.000000,top
"FID2","Fiducial","Fiducial",75.438000,-123.444000,0.000000,top
"FID3","Fiducial","Fiducial",165.354000,-125.984000,0.000000,top
"FID4","Fiducial","Fiducial",165.354000,-103.886000,0.000000,top
"R1","100","R_0805",77.250000,-114.550000,0.000000,top
"R2","100","R_0805",94.996000,-116.268500,0.000000,top
"R3","100","R_0805",138.176000,-119.570500,0.000000,top
"R4","100","R_0805",94.996000,-114.236500,0.000000,top
"R5","100","R_0805",138.176000,-117.538500,0.000000,top
"R6","100","R_0805",94.996000,-112.204500,0.000000,top
"R7","100","R_0805",138.176000,-107.759500,0.000000,top
"R8","100","R_0805",94.996000,-110.172500,0.000000,top
"R9","100","R_0805",138.176000,-109.791500,0.000000,top
"R10","EDO0","R_0805",151.511000,-104.902000,0.000000,top
"R11","EDO1","R_0805",89.916000,-104.838500,180.000000,top
"R12","FPM","R_0805",154.940000,-104.902000,0.000000,top
"R13","CASd","R_0805",74.550000,-113.600000,270.000000,top
"R14","CAS","R_0805",78.400000,-117.550000,90.000000,top
"R15","RCAS","R_0805",102.933500,-104.838500,180.000000,top
"R16","RCASd","R_0805",99.504500,-104.838500,0.000000,top
"U1","KM44C16104","SOP-32_400mil",107.950000,-113.792000,90.000000,top
"U2","KM44C16104","SOP-32_400mil",151.130000,-113.792000,90.000000,top
"U3","74AHCT244PW","SOIC-20W_7.5mm",86.360000,-113.792000,0.000000,top
"U4","74AHCT244PW","SOIC-20W_7.5mm",129.540000,-113.792000,0.000000,top
"U5","74LVC1G04GW","SOT-353",164.900000,-112.300000,180.000000,top
"U6","74LVC1G04GW","SOT-353",81.150000,-121.650000,0.000000,top
"U7","74LVC1G08GW","SOT-353",164.900000,-106.750000,0.000000,top
"U8","74LVC1G74DC","NXP_TSSOP-8_3x3mm_P0.65mm",76.000000,-109.750000,0.000000,top
"U9","74LVC1G04GW","SOT-353",94.950000,-107.750000,180.000000,top
"U10","XC6206PxxxMR","SOT-23",167.000000,-121.850000,90.000000,top
