Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0805",79.717000,-104.394000,0.000000,top
"C2","2u2","C_0805",90.766000,-104.394000,0.000000,top
"C3","2u2","C_0805",101.815000,-104.394000,0.000000,top
"C4","2u2","C_0805",112.864000,-104.394000,0.000000,top
"C5","2u2","C_0805",123.786000,-104.394000,0.000000,top
"C6","2u2","C_0805",134.835000,-104.394000,0.000000,top
"C7","2u2","C_0805",145.884000,-104.394000,0.000000,top
"C8","2u2","C_0805",156.933000,-104.394000,0.000000,top
"C8","2u2","C_0805",165.989000,-121.539000,270.000000,top
"C8","2u2","C_0805",75.692000,-121.539000,90.000000,top
"FID1","Fiducial","Fiducial",75.946000,-103.886000,0.000000,top
"FID2","Fiducial","Fiducial",73.914000,-114.554000,0.000000,top
"FID3","Fiducial","Fiducial",165.354000,-125.984000,0.000000,top
"FID4","Fiducial","Fiducial",165.354000,-103.886000,0.000000,top
"U1","KM41C16000","SOJ-24-26_300mil",82.042000,-114.554000,0.000000,top
"U2","KM41C16000","SOJ-24-26_300mil",93.091000,-114.554000,0.000000,top
"U3","KM41C16000","SOJ-24-26_300mil",104.140000,-114.554000,0.000000,top
"U4","KM41C16000","SOJ-24-26_300mil",115.189000,-114.554000,0.000000,top
"U5","KM41C16000","SOJ-24-26_300mil",126.111000,-114.554000,0.000000,top
"U6","KM41C16000","SOJ-24-26_300mil",137.160000,-114.554000,0.000000,top
"U7","KM41C16000","SOJ-24-26_300mil",148.209000,-114.554000,0.000000,top
"U8","KM41C16000","SOJ-24-26_300mil",159.258000,-114.554000,0.000000,top
